;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
86;Thumb;binary_search;int16_t;-32766.0;65532.0;2
87;Thumb;binary_search;int32_t;-2147483640.0;4294967280.0;2
88;Thumb;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
89;Atmega328p;binary_search;int8_t;-128.0;255.0;2
90;Atmega328p;binary_search;int16_t;-32766.0;65532.0;2
91;Atmega328p;binary_search;int32_t;-2147483640.0;4294967280.0;2
92;Atmega328p;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
93;Leon3;binary_search;int8_t;-128.0;255.0;2
94;Leon3;binary_search;int16_t;-32766.0;65532.0;2
95;Leon3;binary_search;int32_t;-2147483640.0;4294967280.0;2
96;Leon3;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
97;RiscV;binary_search;int8_t;-128.0;255.0;2
98;RiscV;binary_search;int16_t;-32766.0;65532.0;2
99;RiscV;binary_search;int32_t;-2147483640.0;4294967280.0;2
100;RiscV;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
101;Arm;astar;int8_t;-128.0;255.0;2
102;Arm;astar;int16_t;2.0;253.0;2
103;Arm;astar;int32_t;2.0;253.0;2
104;Arm;astar;int64_t;2.0;253.0;2
105;Thumb;astar;int8_t;-128.0;255.0;2
106;Thumb;astar;int16_t;2.0;253.0;2
107;Thumb;astar;int32_t;2.0;253.0;2
108;Thumb;astar;int64_t;2.0;253.0;2
109;Atmega328p;astar;int8_t;-128.0;255.0;2
110;Atmega328p;astar;int16_t;2.0;253.0;2
111;Atmega328p;astar;int32_t;2.0;253.0;2
112;Atmega328p;astar;int64_t;2.0;253.0;2
113;Leon3;astar;int8_t;-128.0;255.0;2
114;Leon3;astar;int16_t;2.0;253.0;2
115;Leon3;astar;int32_t;2.0;253.0;2
116;Leon3;astar;int64_t;2.0;253.0;2
117;RiscV;astar;int8_t;-128.0;255.0;2
118;RiscV;astar;int16_t;2.0;253.0;2
119;RiscV;astar;int32_t;2.0;253.0;2
120;RiscV;astar;int64_t;2.0;253.0;2
121;Arm;astar;int8_t;-128.0;255.0;2
122;Arm;astar;int16_t;2.0;253.0;2
123;Arm;astar;int32_t;2.0;253.0;2
124;Arm;astar;int64_t;2.0;253.0;2
125;Thumb;astar;int8_t;-128.0;255.0;2
126;Thumb;astar;int16_t;2.0;253.0;2
127;Thumb;astar;int32_t;2.0;253.0;2
128;Thumb;astar;int64_t;2.0;253.0;2
129;Atmega328p;astar;int8_t;-128.0;255.0;2
130;Atmega328p;astar;int16_t;2.0;253.0;2
131;Atmega328p;astar;int32_t;2.0;253.0;2
132;Atmega328p;astar;int64_t;2.0;253.0;2
133;Leon3;astar;int8_t;-128.0;255.0;2
134;Leon3;astar;int16_t;2.0;253.0;2
135;Leon3;astar;int32_t;2.0;253.0;2
136;Leon3;astar;int64_t;2.0;253.0;2
137;RiscV;astar;int8_t;-128.0;255.0;2
138;RiscV;astar;int16_t;2.0;253.0;2
139;RiscV;astar;int32_t;2.0;253.0;2
140;RiscV;astar;int64_t;2.0;253.0;2
141;Arm;astar;int8_t;-128.0;255.0;2
142;Arm;astar;int16_t;2.0;253.0;2
143;Arm;astar;int32_t;2.0;253.0;2
144;Arm;astar;int64_t;2.0;253.0;2
145;Thumb;astar;int8_t;-128.0;255.0;2
146;Thumb;astar;int16_t;2.0;253.0;2
